x,y
0.00031968,9.49041047848328E-06
0.000320568,9.47482924934441E-06
0.000321456,9.45665337428391E-06
0.000322344,9.43549034107807E-06
0.000323232,9.41294310672098E-06
0.00032412,9.39221118710185E-06
0.000325008,9.37473850822697E-06
0.000325896,9.35980486821503E-06
0.000326784,9.34638057576399E-06
0.000327672,9.33373926304148E-06
0.00032856,9.32138412540456E-06
0.000329448,9.30889061254774E-06
0.000330336,9.29572461776775E-06
0.000331224,9.28094875530848E-06
0.000332112,9.26304958199373E-06
0.000333,9.2425343336155E-06
0.000333888,9.22369553840484E-06
0.000334776,9.20683029624766E-06
0.000335664,9.18990892022816E-06
0.000336552,9.17157646732746E-06
0.00033744,9.15238139557369E-06
0.000338328,9.13442523859541E-06
0.000339216,9.11834748487323E-06
0.000340104,9.10335693205614E-06
0.000340992,9.08846147972897E-06
0.00034188,9.07266100163417E-06
0.000342768,9.05510299170362E-06
0.000343656,9.03634840837223E-06
0.000344544,9.01846733454302E-06
0.000345432,9.00197379372333E-06
0.00034632,8.98586779999225E-06
0.000347208,8.96888407454135E-06
0.000348096,8.94996239896755E-06
0.000348984,8.92969052808959E-06
0.000349872,8.91062728231975E-06
0.00035076,8.89375038070873E-06
0.000351648,8.87832510718665E-06
0.000352536,8.86350827597671E-06
0.000353424,8.84857479889487E-06
0.000354312,8.83253059774509E-06
0.0003552,8.81341257915317E-06
0.000356088,8.79032775053649E-06
0.000356976,8.76943857417233E-06
0.000357864,8.75196422119586E-06
0.000358752,8.73492761318342E-06
0.00035964,8.71547821647603E-06
0.000360528,8.69252645201066E-06
0.000361416,8.67167911722488E-06
0.000362304,8.65520211748375E-06
0.000363192,8.64106884276325E-06
0.00036408,8.62794285098092E-06
0.000364968,8.61515673849826E-06
0.000365856,8.60226322023366E-06
0.000366744,8.58876066289215E-06
0.000367632,8.57375215778677E-06
0.00036852,8.55539240825099E-06
0.000369408,8.53270269262323E-06
0.000370296,8.51065464961375E-06
0.000371184,8.48970745112331E-06
0.000372072,8.4666139747339E-06
0.00037296,8.44410559201381E-06
0.000373848,8.42591532269458E-06
0.000374736,8.41057133967049E-06
0.000375624,8.39636271504002E-06
0.000376512,8.38213571724192E-06
0.0003774,8.36633959056886E-06
0.000378288,8.34516233163069E-06
0.000379176,8.3196414085497E-06
0.000380064,8.30059669350507E-06
0.000380952,8.28472075778161E-06
0.00038184,8.26917804106246E-06
0.000382728,8.25293588608578E-06
0.000383616,8.23599485614113E-06
0.000384504,8.21929951012167E-06
0.000385392,8.20374857520067E-06
0.00038628,8.18945239048635E-06
0.000387168,8.1761109361244E-06
0.000388056,8.16351832400833E-06
0.000388944,8.15293769908235E-06
0.000389832,8.08660296493905E-06
0.00039072,8.07535952454394E-06
0.000391608,8.06179063233251E-06
0.000392496,8.04676191100697E-06
0.000393384,8.02957037185783E-06
0.000394272,8.0085243395208E-06
0.00039516,7.98087322173471E-06
0.000396048,7.95371199274111E-06
0.000396936,7.93350756184775E-06
0.000397824,7.9168867158227E-06
0.000398712,7.90190262752849E-06
0.0003996,7.88766119723033E-06
0.000400488,7.873614983835E-06
0.000401376,7.85929376429695E-06
0.000402264,7.84414297525195E-06
0.000403152,7.82739816831077E-06
0.00040404,7.80790518160522E-06
0.000404928,7.77831416086097E-06
0.000405816,7.73743643438454E-06
0.000406704,7.71839953828769E-06
0.000407592,7.70318067679686E-06
0.00040848,7.68937307225943E-06
0.000409368,7.67624466422417E-06
0.000410256,7.6634123277447E-06
0.000411144,7.6506000468962E-06
0.000412032,7.6375342001581E-06
0.00041292,7.62386710108891E-06
0.000413808,7.60915481906646E-06
0.000414696,7.59331463901817E-06
0.000415584,7.49123069622205E-06
0.000416472,7.50513267920751E-06
0.00041736,7.4909031443152E-06
0.000418248,7.47702650032105E-06
0.000419136,7.46383104408359E-06
0.000420024,7.45102697539386E-06
0.000420912,7.43835430559033E-06
0.0004218,7.42557258211053E-06
0.000422688,7.41234410236519E-06
0.000423576,7.3976874135129E-06
0.000424464,7.36540757974161E-06
0.000425352,7.32870616760088E-06
0.00042624,7.3101892125528E-06
0.000427128,7.29113518218167E-06
0.000428016,7.272520871513E-06
0.000428904,7.25584056485167E-06
0.000429792,7.24109127660152E-06
0.00043068,7.2279446202824E-06
0.000431568,7.21732961316258E-06
0.000432456,7.22244516818909E-06
0.000433344,7.13191200071978E-06
0.000434232,7.12118890118805E-06
0.00043512,7.10838963854408E-06
0.000436008,7.09456502583705E-06
0.000436896,7.07978800731352E-06
0.000437784,7.06403783222508E-06
0.000438672,7.04758122355533E-06
0.00043956,7.03142632690497E-06
